"DateTime","latitude","longitude","geopotential_height","air_pressure","air_temperature","Divergence","Cloud_cover","Relative_humidity","Specific_humidity","U_component_wind","V_component_wind","vertical_velocity"
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,469999.335826109,1,266.600351319153,2.49719561938395e-06,0,0.000385054201984758,3.96522221314359e-06,-2.04219725991573,3.38408465197199,0.000506618191073782
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,417184.218651685,2,261.085857618669,2.14965625736852e-05,0,0.000385054201984758,3.96522221314359e-06,-3.03380638817474,-1.12213584452032,-0.000454073934897187
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,387140.756208466,3,255.163229829699,-3.16127279809953e-05,0,0.000385054201984758,3.75620915426134e-06,2.43502042570521,2.69404344761142,-0.000454073934897187
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,350722.416464193,5,242.264854489013,-1.18417024789861e-05,0,0.00919412213562509,3.75620915426134e-06,-6.3396956440716,2.64934442222774,0.000794825828865059
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,327772.858180401,7,233.251112783975,1.88022971359252e-05,0,0.0312167919697259,3.54719609537996e-06,-7.21149190468723,6.40126886537044,-0.000582166218359992
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,304185.812166504,10,227.867757249628,-1.56040828556639e-05,0,0.081868932588165,3.54719609537996e-06,-8.63663443560319,-1.52442707297345,-0.00205522747818213
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,259650.622835425,20,221.257323160719,-7.9434225360765e-07,0,0.348343237580792,3.33818303649772e-06,-6.90250082497536,-3.547057971585,-0.000742281572688464
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,234032.511262821,30,219.527102254452,-3.28370400920792e-06,0,0.606008474639779,3.12916997761547e-06,-4.66389198216489,-1.53839551840585,-0.00125465070653966
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,201883.856780649,50,219.125658888729,3.52171403018267e-06,0,1.02003466752087,2.92015691873322e-06,-2.2219165613808,-5.8015650643744,-0.00189511212385363
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,180780.047854953,70,218.496730949096,-5.28914430268625e-06,0,1.48471300102042,2.92015691873322e-06,-0.243427760164504,-6.47484413421609,-0.0231584311786776
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,158356.787580899,100,219.678312588875,-1.16193601855787e-05,0,1.74898503902963,2.71114385985097e-06,3.24691025249914,-9.77977832352198,-0.00922839535209866
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,144257.931038337,125,220.503947777712,-1.55256091050495e-05,0,1.92296413071904,2.71114385985097e-06,5.917476012866,-11.20595660217,0.0152372307892952
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,132723.850712246,150,220.292520938431,1.90595166518278e-05,0,2.38323793025175,2.71114385985097e-06,4.44346244383234,-13.0120765965794,-0.0028558042498246
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,122976.218560054,175,220.712698327888,7.52823496432742e-06,0,3.18486311221304,3.33818303649772e-06,4.03988225808623,-14.1407269875173,-0.0573910939341097
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,114503.561868072,200,220.475846742111,-5.99809888280898e-05,0,4.80352934501948,3.96522221314359e-06,2.13233528639562,-22.2019168465555,0.0312807892930103
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,107142.802379763,225,215.127282966126,3.66245578310108e-05,0,49.0272526388783,1.85961363348922e-05,1.98414568694197,-26.4553084807214,0.0632398140169777
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,100627.084766245,250,216.193784174397,1.78344542116813e-05,0,101.628399537629,4.09605336352788e-05,-1.34223787526232,-27.902439427518,-0.0242472155881114
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,89137.4803283001,300,223.505406008769,-4.6736363585509e-05,0,64.8901817203814,5.55914477570274e-05,-6.25298896354021,-27.27385938306,0.143681768031613
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,79063.6916630311,350,232.094955890693,2.54951145312687e-06,0,65.108206151739,0.000131672201190119,-6.82682954014797,-27.7655486622805,0.215093216062121
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,70035.0863692139,400,238.770959062669,7.58055079807033e-06,0,70.671132551833,0.000260633258520386,-6.30816594206019,-24.6701411544606,0.206703171495308
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,61866.3482462363,450,244.135580573283,9.05411344849571e-06,0,43.7770481504285,0.000255198918989451,-2.05165617051916,-17.6342351901606,0.134715308189217
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,54409.2243336089,500,249.058614381602,4.24977604977154e-06,0,56.4422855720202,0.00048385920540649,0.836464533726462,-12.9771554829984,0.115021119606813
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,47530.286966891,550,253.536046053968,6.79581329192663e-06,0,40.1433076278018,0.000486994401289722,3.82390379930804,-9.77977832352198,0.0848874099221901
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,41147.9970178133,600,257.163755935553,4.60726758034811e-06,0,34.6772809749779,0.000548444240601065,5.28530548753713,-7.26685499023318,0.0528643390564913
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,35195.6406541554,650,260.61483073622,1.47342753764783e-07,0,31.9002223088977,0.000645217286863486,4.95424361641727,-5.76385026170692,0.0433855100802445
2022-05-01 09:00:00,59.6599998474121,10.7799997329712,29628.7419877706,700,262.575212505502,4.87395673093716e-07,0,45.1534650150599,0.00102227684508683,2.61473972717027,-3.50934316891752,0.0480929014975022
