"DateTime","Temperature","Precipitation","Soil_moisture","Latent_heat","Sensible_heat","SW05_perc_1","SW25_perc_1","SW05_perc_2","SW25_perc_2"
2021-05-01,3.6,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 01:00:00,2.6,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 02:00:00,0.7,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 03:00:00,-0.3,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 04:00:00,0,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 05:00:00,-0.2,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 06:00:00,1.9,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 07:00:00,4.5,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 08:00:00,6.3,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 09:00:00,7.6,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 10:00:00,8.7,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 11:00:00,9.5,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 12:00:00,10.5,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 13:00:00,11.5,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 14:00:00,12,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 15:00:00,11.1,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 16:00:00,10.7,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 17:00:00,10.9,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 18:00:00,9.5,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 19:00:00,8.4,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 20:00:00,7,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 21:00:00,6,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 22:00:00,4.6,0,NA,NA,NA,NA,NA,NA,NA
2021-05-01 23:00:00,3.8,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02,3.9,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 01:00:00,3.7,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 02:00:00,2.6,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 03:00:00,1.7,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 04:00:00,2.2,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 05:00:00,3.4,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 06:00:00,3.4,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 07:00:00,4.4,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 08:00:00,6.7,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 09:00:00,8.7,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 10:00:00,10.5,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 11:00:00,11.1,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 12:00:00,11.3,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 13:00:00,11.4,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 14:00:00,11.8,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 15:00:00,12,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 16:00:00,11.9,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 17:00:00,11.3,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 18:00:00,10.8,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 19:00:00,9.8,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 20:00:00,8,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 21:00:00,6.9,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 22:00:00,5.8,0,NA,NA,NA,NA,NA,NA,NA
2021-05-02 23:00:00,5.5,0,NA,NA,NA,NA,NA,NA,NA
2021-05-03,4.6,0,NA,NA,NA,NA,NA,NA,NA
2021-05-03 01:00:00,3.6,0,NA,NA,NA,NA,NA,NA,NA
2021-05-03 02:00:00,2.8,0,NA,NA,NA,NA,NA,NA,NA
2021-05-03 03:00:00,2.9,0,NA,NA,NA,NA,NA,NA,NA
2021-05-03 04:00:00,2.9,0,NA,NA,NA,NA,NA,NA,NA
2021-05-03 05:00:00,3.1,0,NA,NA,NA,NA,NA,NA,NA
2021-05-03 06:00:00,4.6,0,NA,NA,NA,NA,NA,NA,NA
